feature_order,feature,bien_gi,y_nghia_bien,source_group,feature_flow_stage,dtype,is_numeric,missing_pct,n_unique,original_table,original_description
131,APP_EMPLOYED_YEARS,Thâm niên làm việc theo năm,Chuyển DAYS_EMPLOYED sang số năm làm việc sau khi xử lý mã đặc biệt.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,float64,True,18.00716071945394,12573,,
132,APP_REGISTRATION_YEARS,Số năm từ lần đổi đăng ký,Chuyển DAYS_REGISTRATION sang đơn vị năm.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,float64,True,0.0,15688,,
133,APP_ID_PUBLISH_YEARS,Số năm từ khi cấp giấy tờ,Chuyển DAYS_ID_PUBLISH sang đơn vị năm.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,float64,True,0.0,6168,,
134,APP_LAST_PHONE_CHANGE_YEARS,Số năm từ lần đổi điện thoại,Chuyển DAYS_LAST_PHONE_CHANGE sang đơn vị năm.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,float64,True,0.0003251916191615,3773,,
135,APP_CREDIT_INCOME_RATIO,Tỷ lệ vay trên thu nhập,AMT_CREDIT / AMT_INCOME_TOTAL; đo gánh nặng khoản vay so với thu nhập.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,float64,True,0.0,48697,,
136,APP_ANNUITY_INCOME_RATIO,Tỷ lệ trả góp trên thu nhập,AMT_ANNUITY / AMT_INCOME_TOTAL; đo áp lực trả góp định kỳ.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,float64,True,0.003902299429939,88811,,
137,APP_GOODS_CREDIT_RATIO,Tỷ lệ giá hàng hóa trên khoản vay,AMT_GOODS_PRICE / AMT_CREDIT; so sánh giá trị hàng hóa với khoản vay.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,float64,True,0.0904032701269222,3066,,
138,APP_INCOME_PER_PERSON,Thu nhập trên mỗi thành viên,AMT_INCOME_TOTAL / CNT_FAM_MEMBERS; đo năng lực tài chính theo quy mô hộ.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,float64,True,0.0006503832383231,3064,,
139,APP_CHILDREN_RATIO,Tỷ lệ trẻ em trong gia đình,CNT_CHILDREN / CNT_FAM_MEMBERS; mô tả gánh nặng phụ thuộc trong gia đình.,"Step3 cleaning/application feature flag logic, materialized in Step5 code",03 Step3 cleaning feature logic,float64,True,0.0006503832383231,17,,
140,BUREAU_LOAN_COUNT,Biến đếm,Đếm khoản vay từ lịch sử tín dụng ngoài Home Credit tại bureau sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,61,,
141,BUREAU_ACTIVE_COUNT,Biến đếm,Đếm đang hoạt động từ lịch sử tín dụng ngoài Home Credit tại bureau sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,23,,
142,BUREAU_CLOSED_COUNT,Biến đếm,Đếm đã đóng từ lịch sử tín dụng ngoài Home Credit tại bureau sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,54,,
143,BUREAU_BAD_DEBT_COUNT,Biến đếm,Đếm nợ xấu dư nợ từ lịch sử tín dụng ngoài Home Credit tại bureau sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,2,,
144,BUREAU_OVERDUE_LOAN_COUNT,Biến đếm,Đếm quá hạn khoản vay từ lịch sử tín dụng ngoài Home Credit tại bureau sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,8,,
145,BUREAU_CREDIT_DAY_OVERDUE_MAX,Biến cực đại,Giá trị lớn nhất của tín dụng/khoản vay ngày quá hạn trong lịch sử tín dụng ngoài Home Credit tại bureau.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,14.314935075493237,868,,
146,BUREAU_CREDIT_DAY_OVERDUE_MEAN,Biến trung bình,Giá trị trung bình của tín dụng/khoản vay ngày quá hạn trong lịch sử tín dụng ngoài Home Credit tại bureau.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,14.314935075493237,1541,,
147,BUREAU_DAYS_CREDIT_RECENT,Biến thời gian gần nhất,Thời điểm/giá trị gần nhất của ngày tín dụng/khoản vay gần nhất trong lịch sử tín dụng ngoài Home Credit tại bureau.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,14.314935075493237,2923,,
148,BUREAU_DAYS_CREDIT_OLDEST,Biến thời gian cũ nhất,Thời điểm/giá trị xa nhất trong quá khứ của ngày tín dụng/khoản vay cũ nhất trong lịch sử tín dụng ngoài Home Credit tại bureau.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,14.314935075493237,2922,,
149,BUREAU_ENDDATE_FUTURE_COUNT,Biến đếm,Đếm ngày kết thúc/đáo hạn còn lại/tương lai từ lịch sử tín dụng ngoài Home Credit tại bureau sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,28,,
150,BUREAU_AMT_CREDIT_SUM_SUM,Biến tổng,Tổng số tiền tín dụng/khoản vay tổng từ lịch sử tín dụng ngoài Home Credit tại bureau sau khi gom theo khách hàng.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,205630,,
151,BUREAU_AMT_CREDIT_SUM_MEAN,Biến trung bình,Giá trị trung bình của số tiền tín dụng/khoản vay tổng trong lịch sử tín dụng ngoài Home Credit tại bureau.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,209581,,
152,BUREAU_AMT_CREDIT_SUM_MAX,Biến cực đại,Giá trị lớn nhất của số tiền tín dụng/khoản vay tổng trong lịch sử tín dụng ngoài Home Credit tại bureau.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,65160,,
153,BUREAU_AMT_DEBT_SUM,Biến tổng,Tổng số tiền dư nợ từ lịch sử tín dụng ngoài Home Credit tại bureau sau khi gom theo khách hàng.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,154999,,
154,BUREAU_AMT_DEBT_MEAN,Biến trung bình,Giá trị trung bình của số tiền dư nợ trong lịch sử tín dụng ngoài Home Credit tại bureau.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,16.708345392522546,169324,,
155,BUREAU_AMT_OVERDUE_SUM,Biến tổng,Tổng số tiền quá hạn từ lịch sử tín dụng ngoài Home Credit tại bureau sau khi gom theo khách hàng.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,1218,,
156,BUREAU_AMT_OVERDUE_MAX,Biến cực đại,Giá trị lớn nhất của số tiền quá hạn trong lịch sử tín dụng ngoài Home Credit tại bureau.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,14.314935075493237,1203,,
157,BUREAU_CREDIT_PROLONG_SUM,Biến tổng,Tổng tín dụng/khoản vay prolong từ lịch sử tín dụng ngoài Home Credit tại bureau sau khi gom theo khách hàng.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,10,,
158,BUREAU_DEBT_CREDIT_RATIO_MEAN,Biến tỷ lệ,"Tỷ lệ/ratio về dư nợ tín dụng/khoản vay tỷ lệ trung bình trong lịch sử tín dụng ngoài Home Credit tại bureau, dùng để chuẩn hóa theo quy mô.",Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,17.116135682951178,179453,,
159,BUREAU_DEBT_CREDIT_RATIO_MAX,Biến tỷ lệ,"Tỷ lệ/ratio về dư nợ tín dụng/khoản vay tỷ lệ lớn nhất trong lịch sử tín dụng ngoài Home Credit tại bureau, dùng để chuẩn hóa theo quy mô.",Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,17.116135682951178,150668,,
160,BUREAU_ACTIVE_RATE,Biến tỷ lệ,Tỷ lệ đang hoạt động trên tổng số quan sát liên quan trong lịch sử tín dụng ngoài Home Credit tại bureau.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,14.314935075493237,296,,
161,BUREAU_OVERDUE_RATE,Biến tỷ lệ,Tỷ lệ quá hạn trên tổng số quan sát liên quan trong lịch sử tín dụng ngoài Home Credit tại bureau.,Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,14.314935075493237,69,,
162,BUREAU_DEBT_TO_CREDIT_SUM_RATIO,Biến tỷ lệ,"Tỷ lệ/ratio về dư nợ to tín dụng/khoản vay tổng tỷ lệ trong lịch sử tín dụng ngoài Home Credit tại bureau, dùng để chuẩn hóa theo quy mô.",Step5 historical aggregate - bureau,05 Step5 historical aggregation,float64,True,0.0,184777,,
163,HAS_BUREAU_HISTORY,Cờ có lịch sử dữ liệu,1 = khách hàng có dữ liệu lịch sử trong nguồn bureau; 0 = không có dữ liệu lịch sử ở nguồn này.,Step5 history coverage flag after merge,05 Step5 history flags,int64,True,0.0,2,,
164,BB_MONTH_COUNT,Biến đếm,Đếm tháng từ lịch sử trạng thái hàng tháng của bureau balance sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - bureau_balance,05 Step5 historical aggregation,float64,True,0.0,1102,,
165,BB_MONTHS_BALANCE_MIN,Biến cực tiểu,Giá trị nhỏ nhất của tháng số dư trong lịch sử trạng thái hàng tháng của bureau balance.,Step5 historical aggregate - bureau_balance,05 Step5 historical aggregation,float64,True,70.0072517731073,97,,
166,BB_MONTHS_BALANCE_MAX,Biến cực đại,Giá trị lớn nhất của tháng số dư trong lịch sử trạng thái hàng tháng của bureau balance.,Step5 historical aggregate - bureau_balance,05 Step5 historical aggregation,float64,True,70.0072517731073,91,,
167,BB_OVERDUE_MONTH_COUNT,Biến đếm,Đếm quá hạn tháng từ lịch sử trạng thái hàng tháng của bureau balance sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - bureau_balance,05 Step5 historical aggregation,float64,True,0.0,162,,
168,BB_BAD_STATUS_MONTH_COUNT,Biến đếm,Đếm nợ xấu trạng thái tháng từ lịch sử trạng thái hàng tháng của bureau balance sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - bureau_balance,05 Step5 historical aggregation,float64,True,0.0,132,,
169,BB_MAX_STATUS,Biến tổng hợp,Đặc trưng tổng hợp từ lịch sử trạng thái hàng tháng của bureau balance: lớn nhất trạng thái.,Step5 historical aggregate - bureau_balance,05 Step5 historical aggregation,float64,True,70.0072517731073,6,,
170,BB_OVERDUE_MONTH_RATE,Biến tỷ lệ,Tỷ lệ quá hạn tháng trên tổng số quan sát liên quan trong lịch sử trạng thái hàng tháng của bureau balance.,Step5 historical aggregate - bureau_balance,05 Step5 historical aggregation,float64,True,70.0072517731073,6403,,
171,BB_BAD_STATUS_MONTH_RATE,Biến tỷ lệ,Tỷ lệ nợ xấu trạng thái tháng trên tổng số quan sát liên quan trong lịch sử trạng thái hàng tháng của bureau balance.,Step5 historical aggregate - bureau_balance,05 Step5 historical aggregation,float64,True,70.0072517731073,1623,,
172,HAS_BUREAU_BALANCE_HISTORY,Cờ có lịch sử dữ liệu,1 = khách hàng có dữ liệu lịch sử trong nguồn bureau số dư; 0 = không có dữ liệu lịch sử ở nguồn này.,Step5 history coverage flag after merge,05 Step5 history flags,int64,True,0.0,2,,
173,PREV_APP_COUNT,Biến đếm,Đếm hồ sơ từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,66,,
174,PREV_APPROVED_COUNT,Biến đếm,Đếm được duyệt từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,26,,
175,PREV_REFUSED_COUNT,Biến đếm,Đếm bị từ chối từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,46,,
176,PREV_CANCELED_COUNT,Biến đếm,Đếm bị hủy từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,39,,
177,PREV_UNUSED_OFFER_COUNT,Biến đếm,Đếm không sử dụng ưu đãi từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,11,,
178,PREV_ZERO_APPLICATION_COUNT,Biến đếm,Đếm bằng 0 giá trị đăng ký từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,42,,
179,PREV_ZERO_CREDIT_COUNT,Biến đếm,Đếm bằng 0 tín dụng/khoản vay từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,44,,
180,PREV_AMT_APPLICATION_SUM,Biến tổng,Tổng số tiền giá trị đăng ký từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi gom theo khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,175559,,
181,PREV_AMT_APPLICATION_MEAN,Biến trung bình,Giá trị trung bình của số tiền giá trị đăng ký trong các khoản vay/hồ sơ trước đây tại Home Credit.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.350702901684818,191746,,
182,PREV_AMT_APPLICATION_MAX,Biến cực đại,Giá trị lớn nhất của số tiền giá trị đăng ký trong các khoản vay/hồ sơ trước đây tại Home Credit.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.350702901684818,48662,,
183,PREV_AMT_CREDIT_SUM,Biến tổng,Tổng số tiền tín dụng/khoản vay từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi gom theo khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,194245,,
184,PREV_AMT_CREDIT_MEAN,Biến trung bình,Giá trị trung bình của số tiền tín dụng/khoản vay trong các khoản vay/hồ sơ trước đây tại Home Credit.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.350702901684818,210626,,
185,PREV_AMT_CREDIT_MAX,Biến cực đại,Giá trị lớn nhất của số tiền tín dụng/khoản vay trong các khoản vay/hồ sơ trước đây tại Home Credit.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.350702901684818,58510,,
186,PREV_AMT_ANNUITY_MEAN,Biến trung bình,Giá trị trung bình của số tiền trả góp định kỳ trong các khoản vay/hồ sơ trước đây tại Home Credit.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.486307806875201,267474,,
187,PREV_DAYS_DECISION_RECENT,Biến thời gian gần nhất,Thời điểm/giá trị gần nhất của ngày quyết định gần nhất trong các khoản vay/hồ sơ trước đây tại Home Credit.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.350702901684818,2922,,
188,PREV_DAYS_DECISION_OLDEST,Biến thời gian cũ nhất,Thời điểm/giá trị xa nhất trong quá khứ của ngày quyết định cũ nhất trong các khoản vay/hồ sơ trước đây tại Home Credit.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.350702901684818,2921,,
189,PREV_DAYS_DECISION_MEAN,Biến trung bình,Giá trị trung bình của ngày quyết định trong các khoản vay/hồ sơ trước đây tại Home Credit.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.350702901684818,60029,,
190,PREV_CREDIT_APPLICATION_RATIO_MEAN,Biến tỷ lệ,"Tỷ lệ/ratio về tín dụng/khoản vay giá trị đăng ký tỷ lệ trung bình trong các khoản vay/hồ sơ trước đây tại Home Credit, dùng để chuẩn hóa theo quy mô.",Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.6807723951338325,243473,,
191,PREV_DAYS_FIRST_DRAWING_365243_FLAG_COUNT,Biến đếm,Đếm ngày first rút tiền 365243 flag từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,25,,
192,PREV_DAYS_FIRST_DUE_365243_FLAG_COUNT,Biến đếm,Đếm ngày first đến hạn 365243 flag từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,5,,
193,PREV_DAYS_LAST_DUE_1ST_VERSION_365243_FLAG_COUNT,Biến đếm,Đếm ngày last đến hạn 1st version 365243 flag từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,5,,
194,PREV_DAYS_LAST_DUE_365243_FLAG_COUNT,Biến đếm,Đếm ngày last đến hạn 365243 flag từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,6,,
195,PREV_DAYS_TERMINATION_365243_FLAG_COUNT,Biến đếm,Đếm ngày kết thúc 365243 flag từ các khoản vay/hồ sơ trước đây tại Home Credit sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,0.0,6,,
196,PREV_APPROVAL_RATE,Biến tỷ lệ,Tỷ lệ approval trên tổng số quan sát liên quan trong các khoản vay/hồ sơ trước đây tại Home Credit.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.350702901684818,362,,
197,PREV_REFUSAL_RATE,Biến tỷ lệ,Tỷ lệ refusal trên tổng số quan sát liên quan trong các khoản vay/hồ sơ trước đây tại Home Credit.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.350702901684818,397,,
198,PREV_CANCELED_RATE,Biến tỷ lệ,Tỷ lệ bị hủy trên tổng số quan sát liên quan trong các khoản vay/hồ sơ trước đây tại Home Credit.,Step5 historical aggregate - previous_application,05 Step5 historical aggregation,float64,True,5.350702901684818,362,,
199,HAS_PREVIOUS_APPLICATION,Cờ có lịch sử dữ liệu,1 = khách hàng có dữ liệu lịch sử trong nguồn previous giá trị đăng ký; 0 = không có dữ liệu lịch sử ở nguồn này.,Step5 history coverage flag after merge,05 Step5 history flags,int64,True,0.0,2,,
200,POS_MONTH_COUNT,Biến đếm,Đếm tháng từ lịch sử POS/CASH balance hàng tháng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,0.0,228,,
201,POS_PREV_COUNT,Biến đếm,Đếm khoản trước từ lịch sử POS/CASH balance hàng tháng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,0.0,26,,
202,POS_MONTHS_BALANCE_RECENT,Biến thời gian gần nhất,Thời điểm/giá trị gần nhất của tháng số dư gần nhất trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.8752369833924645,96,,
203,POS_MONTHS_BALANCE_OLDEST,Biến thời gian cũ nhất,Thời điểm/giá trị xa nhất trong quá khứ của tháng số dư cũ nhất trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.8752369833924645,96,,
204,POS_ACTIVE_MONTH_COUNT,Biến đếm,Đếm đang hoạt động tháng từ lịch sử POS/CASH balance hàng tháng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,0.0,212,,
205,POS_COMPLETED_MONTH_COUNT,Biến đếm,Đếm hoàn tất tháng từ lịch sử POS/CASH balance hàng tháng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,0.0,47,,
206,POS_DEMAND_MONTH_COUNT,Biến đếm,Đếm yêu cầu tháng từ lịch sử POS/CASH balance hàng tháng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,0.0,53,,
207,POS_DPD_MONTH_COUNT,Biến đếm,Đếm days past due/quá hạn tháng từ lịch sử POS/CASH balance hàng tháng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,0.0,103,,
208,POS_DPD_DEF_MONTH_COUNT,Biến đếm,Đếm days past due/quá hạn quá hạn nghiêm trọng/default tháng từ lịch sử POS/CASH balance hàng tháng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,0.0,62,,
209,POS_SK_DPD_MAX,Biến cực đại,Giá trị lớn nhất của sk days past due/quá hạn trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.8752369833924645,1919,,
210,POS_SK_DPD_MEAN,Biến trung bình,Giá trị trung bình của sk days past due/quá hạn trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.8752369833924645,10768,,
211,POS_SK_DPD_DEF_MAX,Biến cực đại,Giá trị lớn nhất của sk days past due/quá hạn quá hạn nghiêm trọng/default trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.8752369833924645,200,,
212,POS_SK_DPD_DEF_MEAN,Biến trung bình,Giá trị trung bình của sk days past due/quá hạn quá hạn nghiêm trọng/default trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.8752369833924645,4471,,
213,POS_CNT_INSTALMENT_MEAN,Biến trung bình,Giá trị trung bình của cnt kỳ trả góp trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.883041582252342,41222,,
214,POS_CNT_INSTALMENT_MAX,Biến cực đại,Giá trị lớn nhất của cnt kỳ trả góp trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.883041582252342,61,,
215,POS_CNT_INSTALMENT_FUTURE_MEAN,Biến trung bình,Giá trị trung bình của cnt kỳ trả góp còn lại/tương lai trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.883041582252342,39840,,
216,POS_CNT_INSTALMENT_FUTURE_MIN,Biến cực tiểu,Giá trị nhỏ nhất của cnt kỳ trả góp còn lại/tương lai trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.883041582252342,61,,
217,POS_FUTURE_GT_TOTAL_COUNT,Biến đếm,Đếm còn lại/tương lai gt tổng từ lịch sử POS/CASH balance hàng tháng sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,0.0,11,,
218,POS_DPD_MONTH_RATE,Biến tỷ lệ,Tỷ lệ days past due/quá hạn tháng trên tổng số quan sát liên quan trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.8752369833924645,2499,,
219,POS_DPD_DEF_MONTH_RATE,Biến tỷ lệ,Tỷ lệ days past due/quá hạn quá hạn nghiêm trọng/default tháng trên tổng số quan sát liên quan trong lịch sử POS/CASH balance hàng tháng.,Step5 historical aggregate - POS_CASH_balance,05 Step5 historical aggregation,float64,True,5.8752369833924645,1258,,
220,HAS_POS_CASH_HISTORY,Cờ có lịch sử dữ liệu,1 = khách hàng có dữ liệu lịch sử trong nguồn pos cash; 0 = không có dữ liệu lịch sử ở nguồn này.,Step5 history coverage flag after merge,05 Step5 history flags,int64,True,0.0,2,,
221,INST_PAYMENT_COUNT,Biến đếm,Đếm thanh toán từ lịch sử thanh toán installments sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,0.0,320,,
222,INST_PREV_COUNT,Biến đếm,Đếm khoản trước từ lịch sử thanh toán installments sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,0.0,26,,
223,INST_LATE_PAYMENT_COUNT,Biến đếm,Đếm trả trễ thanh toán từ lịch sử thanh toán installments sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,0.0,102,,
224,INST_UNDERPAYMENT_COUNT,Biến đếm,Đếm trả thiếu từ lịch sử thanh toán installments sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,0.0,126,,
225,INST_PAYMENT_MISSING_COUNT,Biến đếm,Đếm thanh toán thiếu dữ liệu từ lịch sử thanh toán installments sau khi tổng hợp về cấp khách hàng.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,0.0,27,,
226,INST_DAYS_LATE_POSITIVE_SUM,Biến tổng,Tổng ngày trả trễ phần dương từ lịch sử thanh toán installments sau khi gom theo khách hàng.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,0.0,2077,,
227,INST_DAYS_LATE_POSITIVE_MEAN,Biến trung bình,Giá trị trung bình của ngày trả trễ phần dương trong lịch sử thanh toán installments.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,5.162742145809418,23566,,
228,INST_DAYS_LATE_POSITIVE_MAX,Biến cực đại,Giá trị lớn nhất của ngày trả trễ phần dương trong lịch sử thanh toán installments.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,5.162742145809418,1642,,
229,INST_DAYS_EARLY_POSITIVE_MEAN,Biến trung bình,Giá trị trung bình của ngày trả sớm phần dương trong lịch sử thanh toán installments.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,5.162742145809418,57205,,
230,INST_AMT_INSTALMENT_SUM,Biến tổng,Tổng số tiền kỳ trả góp từ lịch sử thanh toán installments sau khi gom theo khách hàng.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,0.0,287801,,
231,INST_AMT_INSTALMENT_MEAN,Biến trung bình,Giá trị trung bình của số tiền kỳ trả góp trong lịch sử thanh toán installments.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,5.160140612856125,288020,,
232,INST_AMT_PAYMENT_SUM,Biến tổng,Tổng số tiền thanh toán từ lịch sử thanh toán installments sau khi gom theo khách hàng.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,0.0,287364,,
233,INST_AMT_PAYMENT_MEAN,Biến trung bình,Giá trị trung bình của số tiền thanh toán trong lịch sử thanh toán installments.,Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,5.162742145809418,288396,,
234,INST_PAYMENT_RATIO_MEAN,Biến tỷ lệ,"Tỷ lệ/ratio về thanh toán tỷ lệ trung bình trong lịch sử thanh toán installments, dùng để chuẩn hóa theo quy mô.",Step5 historical aggregate - installments_payments,05 Step5 historical aggregation,float64,True,5.163717720666903,42700,,
